Text,oh_label
== wtf ==    your a queer,1
==You suck your family members' cocks!==,1
Kevin is a cockslap and eats his own mother's pussy.  ,1
" you suck monkey balls, you damn commie fag ",1
"  Go to hell, you power-spinning, pompous arsewipe.",1
"  You can't handle the truth! You small f-facist, you.",1
How many niggers does it take to change a light bulb???,1
suck my dick. suck mybig harry ballsack and shove it.  ,1
"::::: I don't know, will you kill me if I say yes?  ",1
they are retarded niggers  ,1
FAG FAG FAG FAG FUCK FUCK FUCK A LUCK A DING DONG,1
fuck you and your small penis,1
FAG FAG FAG FAG FAG FAG FAG... GET A REAL JOB PANSY!,1
"  fuck your couch, nigger!",1
 == Yanksox is a Lying faggot!!!!!! ==   ,1
 == You fake bastard.  This site is a fraud! ==   ,1
  You arrogant administrator homosexual bastards fuck off   ,1
```you suck monkey butts`` said George Washington `,1
"  Go F yourself m fuker. You are a modi ass fucker, homo",1
== Hello ==  Y are u so gay!,1
  shove a lollipop up your cunt ,1
"  == I WILL FUCK YOU UP, YOU IRISH PANSY ==  FUCK YOUR MOTHER",1
 you are a gay anti-hindu bastard,1
"  == Shutup ==  U ain't nobody, U ugly gay fag,",1
"  == Editing Wikipedia ==  Fuck You, you anal rapist",1
  King of Hearts is a faggot! =) That is all.,1
            fucking germanian piece of shit,1
 read the bible you cunt,1
== translation: You are an impotent fucker. ==,1
go fuck yourself until it falls off ,1
NIGHTSTALLION IS A CUNT  ,1
SHUT THE FUCK UP YOU GAY NERD FAGGOT.,1
OMICRONPERSEI SUCKS GWERNOL'S VAGINA DAILY.,1
deleting good articles fuck bag,1
Fucking Faggot  This guy is a total fucking faggot    ,1
== ps ==  you are a faggot with a clipboard  Megna,1
 I suggest you kill yourself.  ,1
  ==Dumb Bastard==  What is an ass-berger?,1
  == you childish stupid idiot==  Get a life animalfucker. ,1
 bomb is going to blow in your country go save your country,1
Your mother is illiterate!,1
". Crzrussian, slit your wrists",1
  == Faggot ==  Enough said,1
"  == Cunt ==  You're a cunt, Emilyn.  ",1
"   Get the fuck off my page, you motherfucking mullet!",1
" ::Oh god, why don't you just fuck of and die of GAIDS? -   ",1
Tom Atkins is a queer and so are you.  ,1
"I hope you get cancer, you pedophile.  ",1
== why you are a bastard ==  I hope your dog dies.  ,1
ABOVE FILTERED  PENIS DOODLE IN YOUR EAR AND ALL YOUR MUTTS ,1
 Arrghh...im sick of these stupid blocks i.p blocks!,1
Bullshit from wikia fanchildren ,1
Canadian-Bacon is a fucking douche bag.  ,1
  == you ==  Do you know you come across as a giant prick?,1
"  Yiur house is ugly, too.",1
fuckin crikey fuck off ya fuckin bloke. Crikey.  ,1
  == The TNA fags need to stop ==  Buncha pussies,1
  == bastard ==  why do you hate jonathan pacheco...you dick!,1
 u can kiiss my ass !!!n suk iit biitch ,1
 (aka I suck at life),1
  == Communism ==  U are gay,1
hate you and think you are too way too dam fat.I ,1
I shit on your parents graves! ,1
  == WTF??? ==  What the hell did i do???  ,1
  ==FUCKKKKKKKKKK == FUCKKKKKKKKKK  USA  FUCKKKKKKKKKKKKKK,1
   please stop touching me innapropriately,1
you have a sandy vagina  ,1
"  Take this how you will, but you suck Big Black Donkey Balls",1
And i dont know who the hell taraka is but i am not him .,1
NIGHTSTALLION  IS A CUNT   ,1
You must be a sock. Your request was your only edit.  ,1
 - good for masturbation,1
and suck a dick two times every hour until sunrise   ,1
    You are Hitler's missing bollock,1
"   Second level warning my arse, you American cunt",1
p.s. you are a wanker    ,1
p.s. i pissed on your mothers grave you jews  ,1
"  Stick it up your arsehole, cunt",1
  == nigger dick shit ==  YOU ARE A BIG NIGGER DICK SHIT,1
  :::Everyone knows Tony Sidaway is gay.,1
  Fuck you Sandra Oh is so goddamn ugly it's ridiculous.,1
LL EVER BE FATASS GO FUCK YOUR MOM AGAIN,1
But what if you *are* a fascist? ,1
  == Nearly Headless Bitch ==  You're retarted,1
  FUCK OFF YOU COMPLETE TOSSPOT.,1
  == Wanker ==  Charles Knight is a complete arse wipe.,1
  == Charles Knight is an anal king ==  I have proof.,1
  == FOR FUCK'S SAKE ==  KILL THE FUCKING SHITHEAD ALREADY!,1
  yea soooo  ur stupidd!!!!!!!!! loser,1
THIS MAN SHOULD BE SHOT FOR WAR CRIMES AND MURDER  ,1
  ==HO==  BITCH!! DELETE MY SHIT AGAIN!!,1
  == niggah ==  hey fool whyd you delete my article?,1
oh yeah and i suck cock,1
I am a sexofendr people so wath out girls.,1
  youre pretty ugly for a gay anime fan,1
 etc. This person should be blocked from Wikipedia.,1
Thanks for being an ass when I tried to help.  CFHS grad.  ,1
  I think he is a gay fag!!!,1
  == mildred taylor is  ==   she is totally stupid o.j,1
  == mildred taylor is  ==     she is totally stupid o.j,1
", could be so kind as to suck my dick too?",1
  Bold textYPU GUYS FUCKEN SUCK!!!,1
  SIGNED ANON SO SUCK ON THAT YA FUNKMUNCH,1
  Your cause is nonsense.  You are a Mossad terrorist.,1
  == Arg. ==  THis shit is not CREDIBLE!,1
     fukin arseholes dicks cunts die u priks,1
|fukin arseholes dicks cunts die u priks ,1
Shut the fuck up you tight-assed shithole!  ,1
   I say:  Shut the fuck up you tight-assed shithole!,1
  fukin dicks a dont care u pricks die all of u,1
!!! I have a small penis!!!,1
  == dude  ==  y r u such a fukin nerd wit no life?????,1
  == sloking man has np penis ==  But he does eat babies!,1
I want to masturbate with you. ;;  ;;,1
Maybe. as long as you stop correnting and annoying me.    ,1
No. I don't want to be ur friend. bitch    ,1
SUCK IT!!!!!!!!!!!!!!!!! HAVE A NICE DAY!!!!!!!!!!,1
 :That attitude won't get you laid,1
  I LOVE SUCKING COCK!    GIVE ME CUM OR GIVE ME DEATH!,1
Ur Mom Kicks Skibbles,1
  == hey m00 ==  you are the worst,1
  Also bring back the brendle article you piece of shit.,1
  you animalfucker get a life / Chairmanofall,1
GO FUCK YOURSELF NIGGER,1
                 you suck  ,1
  Yall are such babies.,1
    how dare you i did research dont you know who i am,1
  == You! ==  YOu leave me alone asshole!,1
What the Belgum is wrong with you?,1
IN THE ASS BITCH FUCKING COCK SUCKER!,1
 Hitler is an asshole.,1
  COMEDIAN?? I AM NOT A BLOODY COMEDIAN. I FUCKING HATE YOU  ,1
"  I guess so will you if you revert again, bitch.",1
fuck u u stupid fagget block me i dare u,1
    Okay retard whatever you say have fun being a loser!  ,1
        YOU SUCK!!!!!!!!!!!!!!!!!!!!,1
 to use on Aaron Christianson because he is gay,1
they are bumholes they got killed,1
 rumor has the dicks explpoded,1
  ==fuck you faggot == fuck you faggot   ,1
I am no sockpuppet. Sorry fuckers! ,1
  GTFO U LITTLE NOOBLET,1
  Fine.  I will destroy you.   Xchanter,1
"  == FUCK YOU ALL, LOSERS ==  FUCK OFF MY PAGE, FAGS",1
  == Ey!!! ==  You should better watch yourself!!!  ,1
.  In another life you know me very well you lunatics.,1
dont try to spook me you dick!,1
"  Because Propol, your a little fuck",1
  CHickens has no penis,1
gay charver that no one likes,1
Help bring Wikipedia down.  Down with Wikipedia.  ,1
"  == Pig ==  That pig looks scary shit , hehe",1
Bull Fucking Shit You Racist Scumbag,1
Simon Mills is pretty gay. It regularly takes it in the anus.,1
suck my dick irish guy you faggot  ,1
"  == Sweden, LOL ==  Sweden sucks.  ",1
"  you retarded microsoft nut, dont argue with your superiors",1
  I think he's a prick.,1
  == A question ==  How big are your boobs?,1
  This Ghirlor is a fucking moron,1
   dear omni looser stop editing my crap then die    ,1
"  No one is vandalizing assholes, so get it straight!!!",1
  == Fuck you! ==  It war now asshole!! ,1
  == u r mean as hell ==  fuck u lol AMIRITE,1
You Are Still Very Gay ,1
the ass so you can see what it feels like!!!,1
  wiki sucks ass. from admin,1
 this guy is a complete tool ,1
this fucking wikipedia forever,1
Gay Sex  Demiurge is always up for some hot gay sex.   ,1
   == Gay Sex ===  Demiurge loves it in his Irish ass.,1
  == Dude ==  Dude stop busting my balls.,1
  Budgiekiller is a panzy,1
      fuck you Gwernol go suck wills cock,1
   reply back fucker or are ya 2 busy fuckin ya mother,1
 < Whoever wrote is a cunt,1
"  =You can eat pork, but you murder Palestinian children=",1
MY IP IS DYNAMIC AND MY PENIS IS 10 INCHES LONG ,1
  ==fuck you==  fuck you majorly. suck my dick asshole.  ,1
  == hello == eat shit and die you cunt  ,1
  == but what if i am gay ==  i need to know,1
  FisherQueen can suck my hard cock!    ,1
  == FUCK YOU ==  70.17.2.2 Forever,1
 Viridae you suck Mike's cunt nostril discharge!,1
 THESE BOOTS ARE MADE OF PUPPIES.  YOU SICK PEOPLE. ,1
Why the hell was this page deleted? Bloody vandals.,1
" user:Gwernol Is Gay, They Blocked Me",1
 ==Rafael Araújo== Hey  moron  ,1
  == wikipedia ==  i hate wikipedia if u hate it join this,1
" your a cunt Chovain, suck it ya minge ",1
  == my apologies ==  suck my junk bitch!!!,1
  He is a Nazi Nordicist.  ,1
"  Dude, dude fuck you!!!",1
. Even though it is fucking cool to vandalize wikipedia,1
I'm gay with Vodka in my pants. ,1
   This guy is an idiot.   ,1
  == J .Mabel you are a GARBGE! ==  You delete Sorin Cerin?,1
  == J .Mabel you are a GARBAGE! ==  You delete Sorin Cerin?,1
   == faggs ==  why dont you make a fucking character article,1
  == I HATE YOU! ==  == I HATE YOU==,1
" I FUCKING hate you, ecto.",1
"  MOTHERFUCKER, DONT BE CHANGING THE FUCKING GTA TIMELINE!",1
  == you suck it big time ==  you suck it big time,1
  == you suck ==  You suck gurch,1
", im going to knock you over the head with a baseball bat",1
.  I hate your freakin guts,1
  == you suck hardcore ==  yep you heard it,1
 IT'S MY TALK PAGE YOU FAGGOT  ,1
 # Merge or Delete - What the hell?   ,1
  == Are you ==  fukking ugly?,1
Knob Jockey== You Gay For Deleting Factory: The Musical    ==,1
 ::Emoticons suck.   - '''' -  ,1
You Smell== You Smell    ==,1
  == Look at me! ==  I can underline shit! Cool!  ,1
spent the worst 3 months of my life in this hell hole!,1
"oh, and armarkov, you fuck and are a cocksucker. ",1
"  Shut Up King Bee, your a stupid idiot, you're the vandalism",1
  oi wanka...get a life,1
 * Wtf ur a asshole no advertising pls  ,1
I LOVE FATTY SEX MMMM,1
  == you fag ==  WAAA WAAA I'M A HUGE GAY (says you),1
  == Knob Jockey ==  Your a fruit for deleting my Page Ass   ,1
 nerds attempt to block it? This is communist.,1
  ==Becouse no one gives a SHIT...==,1
-Because it was put here by an ASSHOLE...  ,1
"`IT'S SPELLED ``VANDALISM,``  == RETARD! ==   `",1
"`  == DIPSHIT ==  It's spelled ``vandalism,`` retard!`",1
  - Stealthusa is an artise of the ass.,1
 EVula likes having gay sex with men!,1
  == Imperialist bastards... ==  ...,1
 :hurt? i'm alright and don't give a damn fool.  ,1
  I said go fuck yourself you robotic piece of cunt.,1
" EVula, answer me, got damnit!",1
  == Massive disruption my ass! ==  {unblock}},1
    COS YOU'RE A FAT BITCH  ,1
  Shut the fuck up you wannabe cholo scum.,1
"  You can fuck off too, you Twatus Majorus.",1
  == I don't like you ==  I will hurt you.    -  ,1
  == Dick ==  Their principal is known to be a dick.,1
Dimerge is a jackass == == ,1
  your all a bunch of wankers   ,1
  Fuck the Killers and Fuck you too.,1
  you are a fucking retard,1
  == Dear Gay Man == do you have AIDS?,1
 graham broad is a total loser. yes website woooo gay,1
" Block and be damned, you cowards.",1
"   You useless asshole, keep your misinformation to yourself",1
  See WP:BLOW ME for my response.,1
"Suck it again, twerp.      ",1
"  == RE: ==  Punk ass snitch, get the cock.  ",1
  == Who r u? ==  who the hell r u?,1
   == You. ==  I despise you.,1
  == hey buddy ==  You suck asshole,1
  you're a faggot for reporting handlfield,1
   go fuck yourself prick,1
   ==Up yours== Don't deleat my articles Bitch.,1
 Fuck shit kwa kwa kwa!!! ,1
Fuck shit kwa kwa kwa!,1
  ==Fuck you==  Don't be asking for me to be banned asshole.,1
"  ENOUGH! You don't own Wikipedia, so quit bothering me!",1
"  With regards to your comments on , back the fuck off!  ",1
  == last time ==  go suck a cock,1
  editors are gay they should all go fuck themselves,1
  ::You are harassing me and annoying me. Stop it or else!,1
Go fuck yourself you faggot -    ,1
shut you penis sucker.,1
 THE FUKKING RETARDO RACISTO KANUCK,1
"  :Hey , mind your own friggin' business, would ya?  ",1
  -I don't think it should be 1 fucking week! -  ,1
  Perhaps you are worth less than a cockroach. Ya think???,1
"Perhaps, Perhaps Che was a pig  ",1
   You motherfucking communist scum,1
  == u smell ==  likw dog poo,1
  put it up your bottom.,1
" **Fuck that, I'm being accussed of shit that I didn't do ",1
"  Fuck you too, you fascist piece of shit.  ",1
"  == That's Stryker stuff ==  Pretty fucking crazy, huh?   ",1
  Dynamic IP so fuck you,1
you   you stupid bitch,1
   THIS SCHOOL DISTRICT SUCKS i know cause i go there  ,1
  == Checking in on you... ==  You still gay?,1
Which is unfair and stupid.Rocky   ,1
" :: And don't delete things from mytalk, asshole",1
  ==STOP REVERTING ME YOU MORON==,1
"  Opps, I accidently edited your page, faggot! *Drop dead*",1
  U R A FUCKIN MUSLIM ARENT U?,1
Angrynintendo nerd isnt notable? Go fuck yourself   ,1
"  == Papist scum ==  Yeah, that's you, you fuck'n bastard!",1
"       figures you have aspergers, pedantic little fucker  ",1
 Viva le sock-puppets! ,1
  Ah fuck...damn u rondo....damn damn damn damn u...,1
  Yah i figured out pretty fast asshole.,1
Here is my badge of honor bitches ) ,1
  -Go suck a dick blngyen.,1
"  == How ==  How do you sleep at night, you son of a bitch?",1
 ==regarding you being an asshole== go fuck your mother.,1
 go blow your bitch GabrielF =,1
  well sorry buddy but stay out of it. you're not needed.  ,1
  == FUCK YOU ==  FUCK YOU AGAIN,1
 :Wikipedia policies are worthless.  ,1
"Apankrat is a cruel person, that's all I have to say   ",1
You like ASS COCK!!!!  ,1
  == Fag ==  Stop reverting my edits or I will kill you,1
  So how many Serbian warmongers did you kill? x:,1
"  It's a criticism, moron, it doesn't need to be sourced.",1
Faaa Q 2 means fuck you to!,1
  AND HAVING A FUCKIN' BITCH ASS DAY''',1
  == fucking GOOK!! ==  go kill urself motha fucka,1
  == savant13 is a fat shite ==,1
  Bla bla bla....suck it Irishguy =),1
2 words learn them SHUT UP DONT FOLLOW ME EVERYWHERE   ,1
"   fuck u to buddy, i know that was thomas, i aint stupid",1
 FUCK YOU! GO SUCK COCK YOU FUCKING COCK SUCKERS!,1
"   FUCK YOU, GO SUCK SOME DOG COCK! YOU FUCKING DICK LICKERS!",1
  == You are my bitch! ==  I own your ass.,1
 THE PERSONG SITTING TO MY RIGHT IS A STINKY VAGINA FACE,1
  == you're hot ==  i will rape you ;),1
"  fuck you then, im done with this website.  ",1
DUMB ASS THIS IS MY PAGE! LEAVE IT THE FUCK ALONE!,1
 YO DUMB ASS THIS IS MY PAGE! LEAVE IT THE FUCK ALONE! ,1
  You're all going to burn in hell you know that -Jenny Mac,1
  Where the hell did all the images go???? ,1
"  == ha ha ==  Die of lung cancer, vandalfighter!!! .  ",1
" (UTC)  Ass hole -  17:53, 9 March 2007",1
"  hello, does anyone want to play with my pussy?",1
 And your a PRICK TO EMPOWER ASSHOLES LIKE PROPOL  ,1
 :My source was fucking TELEVISED.  ,1
"  STOP HARASSING ME, MOTHERFUCKER!  ",1
" -Thank God, or we might still hear more of his crap.  ",1
  Fuck you and the beatles....,1
 GET OFF THIS SITE NOW!!!!,1
   This guy is such a loser,1
"Oh, bugger off, Kate!   ",1
  Why don't you sit on a stick? idiot.,1
Fuck You Your a Fag==  ==,1
  ViriiK is a prick...^_^,1
     Roasty blows dead goats   ,1
  ==You==  Are a tattletale. Douchebag.,1
Stop being such a sissy.   ,1
"  so, who the fuck gives a damn, you dipshitted lesbian?",1
  :I already am banned! So what ya gonna do now ASSHOLE? 8-)),1
  == Destroing his eyes ==  I will destroy your eyes.,1
" an expert on this subject, that and sucking dicks!",1
  ==That newspaper picture== Is stupid as hell.,1
  Why is my shit getting reverted get off my dick.,1
"same time, and then made fun of my little dick",1
been hrrassing people. FUCK YOU FAGGOT,1
`FUCK YOU ME ETITIS ♣     §   ♣ 04:12`,1
  :Kiss my ass you stupid nigger jew fuckwit.,1
HAHA YOU GOT PWND BITCH!  ,1
have your asshole thoroughly plunged,1
  But Abeg92 is a faggot.,1
given a royal anal reaming,1
  == RE:Image:Aotp.jpg ==  Get a fuckin' job.  ,1
       YOU                       CUNT,1
"John Cena doesnt like anal sex, he loves oral sex ",1
"How about this, GO FUCK YOURSELF!!",1
  IM GONNA STICK A SHISHKANIGGER IN YOUR YAWAY!  ,1
 banned by a drunken 5 year old ugly 5 year old mongol,1
Dude.  Vandalism sucks. You are so going to get banned.,1
 AM A GAY FAG THAT FUCKS MY MOM IN HER FAT ASS,1
his mother is a slutty whore,1
 This bitch is a cunt! ,1
  == This bitch is a cunt! ==  This bitch is a cunt!,1
  WHAT A LOAD OF CRAP YOU WRITE.,1
"  FUCK YOU FUCK YOU FUCK YOU ASSHOLES, THIS IS BULLSHIT!!",1
 BLARGH BLARGH BLARGH I WILL EAT YOU,1
"  == Weird Tits == This article is full of LULZ. WTF, m8?",1
  Ima fuck your mother.  ,1
people like you ruin wikipedia  ,1
" I love chocolate bananas and ass sex.  (Donkeys, not anuses)",1
  == Oh sup ==  I love you you fucking lesbo.,1
im watching you fag boy   ,1
chicken shit cock sucking pussy bastard!,1
you are a chicken shit cock sucking pussy bastard!,1
fuckface bastarrd.  rot in hell motehrfucker.  ,1
  HAHAHAHA I FUCKING WIN!!!,1
and i suck off my own dead father ,1
  == you abuse you position ==  a$$hole,1
. i love sucking off my dead father,1
  CANT BLOCK ME NIGGA ,1
   go fuck your mother faggot,1
  == n b nb ==  fuck you duchas nachui,1
   Bananas Will you PLEASE leave my entries alone.  Dumbass.,1
Wikipedia is fucked as it is!,1
    U iz a bitch.  -Donny's Mom,1
  your a faggot and a nigger,1
  You're such a slut.  ,1
 ==WTF!!!!== Ok who put in penis land?? (UTC),1
Suck cock you snivelling cunt   ,1
"BEWARE, BERTIE'S AN IGNORANT CUNT  ",1
   Piss off you evil dwarf,1
  Who the fuck are you!? Stay the fuck away from me!!!,1
"  By the way, you're an ass!",1
UR PAGE IS MINE BITCH,1
   == Vagina == This user has one,1
 Psychokirby likes to watch Midget sex. ,1
of killing all the jews ,1
  == WTF Dog ==  Chill dem bitches out yo.,1
  Shit nigga WTF CHILL DEM BITCHES DOG!!!!,1
  GO FUCK YOURSELF YOU FUCKIN' SCUM! ,1
  Kill yourself! Fuckin' bastard! ,1
  good thing you are blocked you fucking scumbag  ,1
"   == You r evil ==  Sorry to say, but you are.",1
" ::This is arrogance of the worst kind. Also, what block?   ",1
  Kingboyk blows me big time.,1
  ==Autoblocked==  Shut out. Damn.  ,1
bban be and u die. understand?efore,1
  == GAYWAD ==  you are a huge homo,1
  == danski ==  Is gay. Agreed?,1
"  Ask me if I care, second-hander.  ",1
"  Splash15hotel, ur a fucking faggot, dude. Get a life!",1
  Yeah thats a really good way to get a life! Fucking fag!,1
WHAT NOW BITCH!! HA. FUCK YOU,1
 Calm yo dirty ass down,1
 YO MAMA YOU ARE ALL NERD DO DWELLERS,1
 I SCREWED YO MAMA LAST KNIGHT,1
THE HOLOCAUST IS A LIE PERPETRATED BY THE ZIONIST MEDIA!!!  ,1
  OH MY just CALL THEM ROCK YOU IDIOTS!!!!,1
  My dad is 6'7' you dumb snail of a kid!,1
  Who made you sherrif you shitsack?,1
  == penis!! ==  Little teenie weenie!!!!!,1
Everybody lock ur dicks cuz theyre gay!!!,1
" Hey Fuck u bitch...i dont suck nuts \, linkin park does!",1
  == cunt == hi.  You are a cunt  bye,1
fag that can't get laid,1
my asscrack...and I liked it a lot too. Use,1
"Please do, suck my cock.  ",1
"this nature, but the Sanchez entry is unbelievably bad",1
"  Fuck you, you Nixonian twit.",1
SUCKS AND ONLY DUMB ASS GOTHS LIKE THIS SHIT!,1
  == Fuck you... ==  ASSSSSSS,1
"GO SUCK A DICK YOU BITCH, YOU CANT SOTP ME CUNT BAG   ",1
  There's a cock in your ass.,1
  ==MrMacMan== I didn't attack anyone you stupid bitch,1
  ::He's a fucking faggot!  ,1
  == Ah ==  Go fuck yourself.  ,1
. Watch the fuck out.,1
`  F.Y. stands for ``FUCK YOU`` dumb ass!  `,1
 because you are such a fucking cock,1
 And won't be back like that gay fucking bastard cunt ''',1
Vandal reverters can suck my dick,1
  Go and hang yourself! ,1
  Fuck you scum! ,1
  Fuck you scum! ,1
  I don't care. Asshole! ,1
  == Fuck Off ==  Fuck Off Slanteye!,1
 *Fuck you asshole! ,1
  Suck my sockpuppet fag!,1
   :::::Why don't you just admit you're an imposter?,1
  == Thanks ==  Thanks for defending me; stupid Tessa T_T,1
  == Your wife isn't half bad == Can I fuck her?,1
"  :Hey, thats a lie!! I was set up!! It was Sean Mc Sean!  ",1
"  == Go Fuck Yourself ==  Get a job, you hippie shitbag.  ",1
  Why don't you just fuck off?,1
COME DUCT-TAKE YOU AND RAPE YOU TILL YOU DIE FUCKHEAD,1
 :::Don't listen to this dirty kraut.,1
cant help acting like a little punk ass bitch,1
|why does you all harass my poor ass?}}  {{unblock,1
"  Plus you are all gay for questioning this bull, get a life.",1
 :I'm not sure that he's even a homosexual.  ,1
"  They sucked, by the way.",1
 you are a bunch of wankers!!!,1
 YOU ARE A FUCKING BITCH!!BITCH!!!! ,1
YOUR MOM's Va jay jay,1
  == wtf ==  stop blanking my page,1
" thanks for leaving, never come back, faggot.",1
"  Who cares, Fuck nbc universal, its a funny commentary",1
GOOD RIDDANCE. GET LOST. PUNK.    ,1
" :Because you're a DUMBASS, MastCell, that's why.  ",1
 fuck you asshole wipe my ass homo         ,1
Wynonna Judd sucks butt,1
  Dude nobody likes u get a life!,1
"  Suck my dick, fuckstick.",1
  your gay douche like gay porno ahaghagagagaa,1
  You guys suck stop faking it.,1
    Why is wikipedia so unbelievably gay?,1
  == oi ==  will you FUCK OFF?????,1
it should be biased against those soulless fuckers ,1
 I think its a great idea - an bigD sounds like an asshole,1
 bitch ass che guevara loving beaner!,1
]].  What a fucking riot!!   ,1
  i don't care. you suck!-clatimort,1
  who do you think you are? Limey,1
! Don't mess with my page! At all! ,1
 YOU'RE NO FUCKING METAL LORD DUMBASS YOU'RE A FAG FUCK YOU.,1
 Good Ridance! Please take your silly friend BigD with you,1
  == LOL GUESS WHAT ==  YOUR A FAGGOT. ,1
   == Important note ==  DIE.,1
  == Re Vanadlism ==  All I get from you are lies. LIES.  ,1
  ==   FUCK YOU DAVE SOUZA ==,1
"  Reply: Shut up, shut up, SHUT UP! - ClayMort",1
"  == I know where you live, fool. ==  I lol'd.",1
  == LOL == hehe BJ means blow job LOL,1
I think you suck though,1
Suck my dick wikiluser.  :,1
  ==Stop being a fag== Please stop being a giant faggot.  ,1
-Write or Wrong is an asshole,1
 - Ryda Wong is an asshole vandaliser,1
  Cream my pussy SexBot!!!   ,1
  == Do you suck Muslim cock? ==  Well...do ya?,1
"  ==Love bombing== You have emotional problems, get psyched  ",1
   ==EXCUSE ME==  Why do u act like u have dick up ass?  ,1
  Yeah. go suck dick u corrupt retarded fat pig Homo.  ,1
 ::Don't post on my talk page you infernal breeder.   ,1
Which by code you're asking me to kiss your ass. ,1
quit trying to fix it u fucking douche bag,1
REMOVING CUM STAINS FROM THE FAGGOTs THAT JACK OFF HERE,1
  == douch bag ==  Thats you.,1
"  He's not a retired, he was just useless. ",1
 == HELLO HOW DO I GET SOMEBODY TO FIX SHIT AROUND HERE? == ,1
  == you suck ==  because you are a stupid bitch!.  ,1
"`  YOU MAKE ME WANT TO PUKE! THE WAY YOU ACT, YOU FAG!  `",1
   == screw you ==  stop deleting my images u fag.  ,1
a crazy nerd who dislikes women,1
  wqhy the hell did oyu delete the pocs article ,1
  == Ben Gaelys Gay ==  Ben Gaelys Gay,1
" Stay out of this, fat boy. We're not in Japan, anyway.  ",1
  Are you kidding? Take your threats and shove em. ,1
  P.S. Are you a /b/tard? ,1
 Irishguy delets other people shit. Cuz noone likes him ,1
  Questing to all of the revertes. Are you freind of the NAZI,1
" :Take no notice of Fourohfour, he's a nob. ",1
"   == Yankees rule, boston sucks ==  'nuff said.",1
  Bobak can suck a big one.  He probably does.,1
  == eat a dick ==  and fuck off,1
"  :no fucking shit, dick head.",1
IM A GOD DAMN FAT ASS FAGGOT LOLSIES I HAVE THE PALSIES    ,1
  Get the hell off my page idiot!  ,1
  == Hi == I have noticed that you are a dick!  Any comment?,1
"  ::Dude, you're a fucking dick. Plain and simple.  ",1
In Response - FUCK YOU  ,1
  == hey ==  hey pan dan. you're a cunt  have a nice day,1
  Delete the page and shut up,1
"  ElinorD is a faggot and a transexual, judging by the name",1
  yada yada yada...OR THE BIG BAD DUDE WILL YELL...,1
"  : But he deserves to be vandalized, lumpy!",1
FAGGGGG YOU ARE A HUUUUUUUGE FAGGOT   ,1
"   Hahaha, fuck you ESA, you worthless pieces of shit.  ",1
  == Eat my penis == Yo fuck you whack ass niggas. One. ,1
  - Do it and I will cut you  ,1
"        fuck u gwernol, are u even from sefton",1
" **Move it to just Milwaukee, you FAT JACKASS!!!!!!!!!!!!!!!",1
Go fuck yourself you piece of shit.,1
  That clown guy sucks major cock. ,1
I will not let you hump my anus,1
   i want some damn answers now you imbeciles   ,1
  fuck you motherfucker.there i said it again bitch   ,1
   i want you. please fuck me,1
